[41.73, -87.62]	7
[41.79, -87.64]	508
[41.83, -87.63]	920
[41.85, -87.72]	480
[41.89, -87.65]	304874
[41.9, -87.74]	106
[41.93, -87.64]	178547
[41.95, -87.73]	2950
[41.96, -87.69]	6154
[41.97, -87.82]	137
[41.98, -87.89]	774
[41.99, -87.66]	1013
[42.03, -87.75]	102
[41.71, -87.63]	24
[41.75, -87.56]	1
[41.77, -87.65]	4
[41.79, -87.74]	39
[41.81, -87.64]	964
[41.84, -87.69]	3430
[41.87, -87.66]	36244
[41.89, -87.75]	65
[41.9, -87.84]	11
[41.91, -87.65]	252315
[41.93, -87.74]	5429
[41.95, -87.83]	216
[41.96, -87.79]	154
[41.99, -87.76]	5495
[42.01, -87.76]	428
[42.09, -87.76]	1
[41.75, -87.66]	7
[41.8, -87.62]	418
[41.81, -87.74]	76
[41.84, -87.79]	14
[41.87, -87.7]	982
[41.91, -87.75]	346
[41.97, -87.66]	257477
[41.98, -87.7]	173
[41.78, -87.62]	56
[41.8, -87.72]	6
[41.82, -87.61]	761
[41.85, -87.66]	8774
[41.88, -87.63]	1658515
[41.9, -87.68]	16023
[41.91, -87.85]	2
[41.94, -87.71]	5416
[41.95, -87.67]	71620
[41.97, -87.76]	245
[42.04, -87.82]	1
[42.05, -87.78]	490
[41.73, -87.66]	5
[41.76, -87.63]	30
[41.78, -87.7]	186
[41.79, -87.68]	10
[41.82, -87.71]	18461
[41.83, -87.67]	215
[41.86, -87.64]	7251
[41.88, -87.73]	2293
[41.89, -87.69]	3795
[41.89, -87.7]	1718
[41.9, -87.78]	2
[41.92, -87.72]	64361
[41.93, -87.68]	63823
[41.94, -87.81]	78
[41.95, -87.77]	1068
[41.97, -87.86]	342
[41.98, -87.74]	59341
[42.02, -87.83]	11
[41.71, -87.67]	2
[41.74, -87.64]	22
[41.81, -87.68]	43
[41.82, -87.7]	195
[41.86, -87.74]	54
[41.91, -87.69]	16838
[41.92, -87.82]	1
[41.93, -87.78]	24
[41.98, -87.84]	2
[42.06, -87.75]	1
[41.8, -87.66]	1008
